T_ax,T_ay,T_az,T_gx,T_gy,T_gz,T_mx,T_my,T_mz,RA_ax,RA_ay,RA_az,RA_gx,RA_gy,RA_gz,RA_mx,RA_my,RA_mz,LA_ax,LA_ay,LA_az,LA_gx,LA_gy,LA_gz,LA_mx,LA_my,LA_mz,RL_ax,RL_ay,RL_az,RL_gx,RL_gy,RL_gz,RL_mx,RL_my,RL_mz,LL_ax,LL_ay,LL_az,LL_gx,LL_gy,LL_gz,LL_mx,LL_my,LL_mz,action,id
8.7032,2.4765,4.0829,0.47047,0.000273,0.29545,-0.60184,0.026179,-0.67841,8.8926,3.5828,1.8254,0.25524,0.22897,0.10567,-0.60781,-0.4818,-0.5182,8.1802,-3.8506,2.7991,0.6622,-0.12267,0.1721,-0.54366,0.70052,-0.2197,-8.3448,4.314,1.1029,-0.5342,0.34565,0.16954,0.54373,-0.73754,0.0794,-9.8817,2.6111,-0.67861,-0.72853,0.10651,0.48237,0.86496,0.31587,-0.09291,walk,3761
8.9196,2.5266,4.0849,0.45676,0.16185,0.30205,-0.60209,0.021312,-0.68088,9.121,3.3788,1.8988,0.38552,0.27023,0.19197,-0.60844,-0.48245,-0.51796,8.2948,-3.6342,2.3472,0.57334,-0.19964,0.24785,-0.53764,0.69876,-0.23443,-8.1132,2.615,0.56184,-0.43651,0.29415,-0.088855,0.54253,-0.74086,0.071705,-9.3091,0.48926,-1.2572,-0.89183,-0.17573,0.56392,0.87294,0.30239,-0.08459,walk,3762
9.015,2.4353,4.5027,0.52366,0.17085,0.33132,-0.59616,0.015044,-0.68533,9.242,3.5689,1.6914,0.68488,0.38355,0.24884,-0.60619,-0.48892,-0.51553,8.0729,-3.8064,2.8602,0.15339,-0.21699,0.27551,-0.53165,0.70167,-0.23957,-8.9503,4.5266,-1.91,-0.79002,0.64604,-0.26613,0.54671,-0.73638,0.063728,-10.604,1.3724,-2.1655,-0.86426,0.035752,0.45002,0.87606,0.2881,-0.076021,walk,3763
9.6939,2.5782,4.4566,0.45595,-0.10217,0.3808,-0.5971,0.009943,-0.68336,11.288,4.1221,1.5607,0.81799,0.40289,0.39766,-0.60553,-0.495,-0.50921,10.569,-4.339,3.0785,0.13073,-0.2814,0.083468,-0.52852,0.7046,-0.23675,-14.153,8.474,4.9576,-1.3297,-0.56921,0.22257,0.54115,-0.74191,0.036464,-11.37,0.06594,-1.3305,-0.65828,-0.27677,0.54733,0.88209,0.27134,-0.073993,walk,3764
10.607,2.8928,3.6003,0.29103,-0.008716,0.30819,-0.60003,0.006898,-0.68188,10.819,4.0878,1.6354,0.79708,0.27581,0.42908,-0.60511,-0.50186,-0.5025,11.091,-3.4081,2.4346,0.4396,-0.33986,-0.092687,-0.53357,0.69967,-0.23787,-7.955,-1.988,0.50251,-0.5565,-0.15659,-0.19531,0.54422,-0.7395,-0.006739,-10.772,-1.0878,-1.1294,-0.57047,-0.23609,0.33733,0.88824,0.25536,-0.073643,walk,3765
11.019,1.9632,3.6869,0.079482,0.051797,0.29306,-0.60054,0.010942,-0.68153,10.124,4.573,2.5665,0.17359,-0.004035,0.40691,-0.61311,-0.50262,-0.49571,10.721,-2.4252,3.622,0.04808,-0.21776,0.25329,-0.53479,0.69935,-0.23992,-8.7035,-2.597,-1.6423,0.2396,0.67687,-0.59819,0.55553,-0.73353,0.003196,-11.205,-0.98496,-0.053403,-0.9209,-0.37574,-0.033378,0.88873,0.25272,-0.078073,walk,3766
10.676,1.5822,3.3535,0.15022,0.065569,0.30216,-0.59993,0.014118,-0.68232,10.739,3.5399,2.619,-0.056269,0.049678,0.34414,-0.61845,-0.49406,-0.49552,10.42,-4.2121,3.1278,-0.062718,-0.014003,0.35402,-0.52636,0.70567,-0.23605,-11.086,0.49642,-1.2884,-0.050692,0.44576,-1.1312,0.57815,-0.71532,0.008392,-10.548,-2.1696,0.3653,-1.2485,-0.56739,-0.48453,0.88327,0.26557,-0.083737,walk,3767
9.6904,0.86669,2.7148,0.10783,0.094447,0.32918,-0.59784,0.018777,-0.68227,9.9777,2.6047,2.022,0.19695,0.26504,0.16331,-0.61913,-0.48925,-0.4977,9.3389,-4.0704,1.7399,0.52988,-0.037696,0.27666,-0.51785,0.71016,-0.24322,-11.115,1.0368,0.36823,0.17099,0.43858,-1.0534,0.60856,-0.69009,0.023233,-9.8769,-3.9198,0.15532,-1.042,-0.59766,-1.2073,0.87103,0.30114,-0.090018,walk,3768
8.8081,-0.086951,2.1574,0.2537,0.1078,0.36383,-0.59592,0.0215,-0.68563,8.8016,2.3983,2.133,0.22658,0.33757,0.007615,-0.61357,-0.4921,-0.50018,8.3366,-3.3069,1.2542,0.77787,-0.25158,0.20742,-0.51317,0.70757,-0.25962,-9.6289,0.68617,-0.44921,0.053928,0.47486,-1.1706,0.63775,-0.66139,0.03903,-10.005,-0.68244,1.5436,-1.3444,-0.58682,-1.628,0.84915,0.35852,-0.097376,walk,3769
8.2317,-0.84396,1.8273,0.3581,0.069166,0.50448,-0.59389,0.02638,-0.68926,8.4175,1.5735,2.2362,-0.001797,0.45802,-0.38217,-0.6027,-0.49415,-0.51139,7.4882,-3.0525,1.2247,0.83604,-0.40462,0.16633,-0.50594,0.7055,-0.27241,-9.3127,3.0051,-0.61041,-0.50846,0.22727,-1.1111,0.67595,-0.62435,0.055092,-11.603,2.5839,0.87565,-1.3838,-0.033009,-1.8642,0.81659,0.43067,-0.085562,walk,3770
8.8655,-0.62036,2.0648,0.58649,-0.25691,0.48622,-0.596,0.024571,-0.68697,8.9807,1.1285,1.9995,-0.12526,0.49753,-0.75082,-0.58169,-0.50581,-0.52509,8.0667,-3.3408,0.64443,1.0255,-0.3965,0.073096,-0.50611,0.69503,-0.29107,-9.2137,1.3394,-0.26154,-0.35896,0.3909,-0.842,0.69692,-0.59994,0.051659,-12.204,1.0692,1.2274,-1.2781,-0.083437,-1.5515,0.78683,0.48975,-0.060333,walk,3771
9.5254,0.32212,2.1506,0.61196,-0.29024,0.39894,-0.60506,0.019358,-0.67756,9.6725,1.0201,2.3361,-0.017867,0.53486,-0.82253,-0.55358,-0.52447,-0.53479,9.5484,-3.0943,-0.12706,0.89366,-0.30777,-0.021801,-0.51436,0.68283,-0.31147,-9.8203,0.36106,0.012394,0.4922,0.3232,-0.85846,0.71176,-0.58054,0.050889,-10.273,0.48444,1.4153,-0.24059,0.11996,-1.6711,0.75668,0.5386,-0.044303,walk,3772
9.7034,0.26049,2.3902,0.49622,0.039317,0.30438,-0.60806,0.011226,-0.675,8.2372,1.067,2.6993,0.24191,0.53831,-0.54568,-0.528,-0.54068,-0.54082,9.1772,-2.3826,-0.58024,0.31774,-0.30524,0.04287,-0.51609,0.67504,-0.32106,-9.632,1.2489,-0.5399,0.85814,0.17118,-0.94229,0.73294,-0.55153,0.074477,-9.3131,1.363,0.93344,0.85326,0.29737,-1.684,0.71932,0.58627,-0.05004,walk,3773
8.8892,0.13149,2.9427,0.31613,0.21655,0.26136,-0.60486,0.009276,-0.67906,7.4727,1.1497,3.1494,0.6116,0.40045,-0.15832,-0.51053,-0.55574,-0.53946,8.9185,-2.6235,0.3906,0.22605,-0.46413,0.12005,-0.51893,0.67191,-0.31788,-9.1394,0.87983,-1.4748,0.51756,0.2479,-0.95427,0.75217,-0.52157,0.093386,-9.8161,1.4753,-0.62082,1.0335,0.40821,-1.479,0.68224,0.62916,-0.063514,walk,3774
8.1054,-0.070331,3.1219,0.22863,0.081289,0.23256,-0.60326,0.004192,-0.6787,7.3339,2.0893,3.3692,0.76289,0.27189,0.22222,-0.50313,-0.56971,-0.53365,8.5677,-2.9531,0.97532,0.4284,-0.50404,0.12712,-0.52119,0.66956,-0.31818,-9.801,0.35188,-1.3675,0.3533,0.19828,-0.92206,0.77166,-0.49124,0.11906,-9.4674,-0.52091,-0.51574,0.57445,0.10488,-1.2358,0.64753,0.65935,-0.076685,walk,3775
8.5592,-0.20755,3.1841,0.19504,-0.13933,0.19612,-0.60645,0.003925,-0.67699,7.4718,2.6228,3.3238,0.59079,0.089875,0.49574,-0.50706,-0.57675,-0.52177,8.5871,-2.9849,1.0788,0.25491,-0.45455,0.058134,-0.52591,0.66781,-0.31762,-10.116,-0.56663,-0.77269,0.29047,0.1633,-0.93569,0.78696,-0.46218,0.12976,-8.2688,0.26189,-1.7034,0.35232,0.23329,-1.0378,0.61628,0.68648,-0.085329,walk,3776
8.7604,-0.20911,3.1707,0.099826,-0.031867,0.13262,-0.60663,0.004903,-0.67556,7.8403,2.902,3.2448,0.40941,-0.05345,0.63974,-0.52,-0.5758,-0.50833,8.7727,-3.2946,1.2704,0.11945,-0.42222,-0.12034,-0.53223,0.66542,-0.31177,-9.4875,-0.74456,-0.66236,0.19063,0.13494,-0.96595,0.80261,-0.43296,0.12939,-8.2389,-0.35449,-0.62152,0.31335,0.66199,-0.7463,0.59436,0.70879,-0.083329,walk,3777
8.5949,-0.31317,3.594,-0.046535,0.001658,0.075732,-0.60728,0.006927,-0.67533,7.8977,3.0775,3.0418,0.22758,-0.1554,0.67095,-0.53805,-0.56781,-0.5002,8.8483,-3.3851,1.3978,0.07881,-0.37356,-0.22802,-0.54324,0.65938,-0.30717,-10.2,-1.4836,-0.33829,0.60164,0.039639,-1.0655,0.81984,-0.39734,0.13723,-8.2109,-2.715,1.561,0.44389,0.85167,-0.5146,0.58049,0.72182,-0.074751,walk,3778
8.655,-0.25413,3.5277,-0.03242,-0.13845,-0.008456,-0.60997,0.009385,-0.67152,8.2031,3.0927,2.9198,0.16147,-0.19448,0.62688,-0.55712,-0.55836,-0.49407,9.2649,-3.436,1.5272,0.033275,-0.25537,-0.27806,-0.5535,0.65305,-0.30253,-9.7391,-1.2698,-0.82437,0.94893,-0.12132,-1.1849,0.83817,-0.3534,0.14893,-8.7961,-3.0394,1.117,0.79641,0.52847,-0.35364,0.57002,0.72941,-0.081116,walk,3779
8.7605,0.026372,3.5602,-0.009673,-0.1645,-0.073955,-0.61925,0.005547,-0.66633,7.9951,3.2039,2.9895,0.21584,-0.22201,0.5249,-0.57741,-0.54602,-0.48614,9.1405,-3.3869,1.6003,-0.072155,-0.1716,-0.27716,-0.56546,0.64627,-0.29696,-10.019,0.60635,-1.4622,0.71021,0.061496,-0.91499,0.85165,-0.31011,0.16652,-8.1705,-4.5245,-0.0789,0.46409,0.40192,-0.34215,0.56335,0.73129,-0.085721,walk,3780
9.1254,-0.02101,3.5626,-0.055735,-0.19553,-0.14954,-0.62367,0.005316,-0.6606,8.3082,3.4867,3.1482,0.27747,-0.25045,0.40696,-0.59247,-0.54244,-0.4757,9.3138,-3.6747,1.806,-0.097651,-0.12335,-0.29827,-0.57382,0.64204,-0.29166,-10.767,-0.31372,-0.90608,0.46414,-0.047807,-0.84708,0.86251,-0.27681,0.17191,-8.8601,-4.3818,-1.324,-0.21326,0.57813,-0.37703,0.55334,0.73797,-0.078809,walk,3781
9.8618,-0.30112,3.5962,-0.099152,-0.22265,-0.20414,-0.6269,0.003369,-0.65743,8.9198,3.9049,3.3726,0.31363,-0.24995,0.35348,-0.60172,-0.53869,-0.46521,9.8966,-4.0323,1.9164,-0.034612,-0.041334,-0.37297,-0.5835,0.63583,-0.28811,-10.345,0.28748,-0.82322,0.44695,-0.037386,-0.80013,0.872,-0.24826,0.17152,-8.6211,-5.087,-0.75428,-0.71282,0.75273,-0.24446,0.54389,0.74914,-0.053892,walk,3782
10.339,-0.1652,3.8469,-0.1343,-0.068318,-0.29599,-0.63233,-0.00022,-0.65354,8.9893,3.9447,3.6551,0.27732,-0.24952,0.1982,-0.61189,-0.53756,-0.45291,10.401,-3.957,1.8176,-0.080104,0.11861,-0.42642,-0.59338,0.62851,-0.28841,-10.851,0.46947,0.006566,0.57907,-0.02399,-0.67375,0.87988,-0.21982,0.17461,-8.4547,-4.793,0.39207,-0.35448,0.97367,-0.016007,0.54402,0.75178,-0.017232,walk,3783
10.234,-0.062174,4.2272,-0.15449,0.14626,-0.42643,-0.63103,-0.004268,-0.65399,8.9391,4.113,3.4611,0.24157,-0.22457,0.009237,-0.61812,-0.54047,-0.44239,10.503,-3.7101,1.9468,-0.36046,0.32996,-0.39093,-0.60133,0.62138,-0.28999,-10.85,0.44536,0.39669,0.97647,-0.082484,-0.52146,0.8837,-0.19288,0.17932,-7.7926,-2.1167,-1.1729,0.33368,0.32706,0.23443,0.54585,0.74994,-0.008159,walk,3784
11.177,0.71659,3.9336,-0.11284,0.023058,-0.58989,-0.62997,-0.015153,-0.65413,10.718,4.3381,3.4828,0.35913,-0.18808,-0.094345,-0.62198,-0.54517,-0.43118,12.097,-4.0626,1.7571,-0.66935,0.51122,-0.43289,-0.60564,0.61792,-0.28624,-11.651,2.0775,0.22881,1.2144,-0.21339,-0.28906,0.88781,-0.17015,0.18327,-15.428,-11.542,4.4611,2.6639,-0.83826,0.31707,0.55743,0.74133,-0.031644,walk,3785
12.077,1.1667,2.5633,-0.20272,0.1775,-0.53775,-0.62629,-0.027263,-0.6568,11.925,5.0009,2.7594,-0.061146,-0.18394,-0.1386,-0.62232,-0.55102,-0.42414,11.941,-4.2028,1.8647,-0.96327,0.64478,-0.38002,-0.6074,0.61766,-0.27897,-11.824,4.2031,1.0182,0.66307,-0.21827,0.41814,0.88747,-0.16689,0.18274,-11.85,-2.3167,1.6485,3.1789,-0.97147,0.23782,0.55342,0.72627,-0.14482,walk,3786
11.068,1.6531,1.4846,-0.21012,0.58034,-0.40283,-0.61222,-0.034058,-0.66841,11.19,4.1583,2.0803,-0.87348,-0.25272,-0.4313,-0.61975,-0.55023,-0.42891,9.3532,-4.4489,2.8053,-0.51752,0.50318,-0.021113,-0.60655,0.62299,-0.27683,-10.635,4.6181,-0.29365,-0.26548,-0.45062,1.0059,0.88607,-0.18907,0.17304,-7.817,12.013,-4.8025,-0.39844,0.54369,0.61153,0.5648,0.71117,-0.185,walk,3787
9.2236,2.2691,1.1688,-0.24665,0.52306,-0.37728,-0.59863,-0.034735,-0.68167,10.319,2.5965,2.2039,-1.1529,-0.13319,-0.91423,-0.60633,-0.54885,-0.44725,8.6501,-3.5515,2.625,0.57659,0.35513,0.39217,-0.59578,0.62578,-0.28883,-10.555,-2.3531,-0.74956,0.28227,-0.51035,1.2088,0.88089,-0.22764,0.1497,-10.034,3.0576,-4.28,-1.4845,0.29324,1.5021,0.5992,0.69326,-0.14297,walk,3788
8.5441,2.0958,1.4236,-0.32377,0.015371,-0.29865,-0.59032,-0.035411,-0.68804,9.5611,1.7333,1.267,-0.86215,0.12066,-1.1432,-0.58304,-0.55306,-0.46985,8.9068,-2.0745,1.5226,0.92666,0.46309,0.79134,-0.57573,0.6285,-0.31768,-13.298,-4.8374,-0.997,-0.031669,0.1881,2.0479,0.86046,-0.28954,0.14942,-12.858,-5.1514,1.7821,-0.4215,0.23847,1.5886,0.64722,0.65808,-0.11017,walk,3789
9.1447,1.6009,1.7382,-0.3864,-0.1629,-0.27055,-0.59206,-0.02988,-0.68604,8.8923,2.0804,0.71533,-0.44751,0.25711,-1.0384,-0.55152,-0.56315,-0.49124,8.7597,-1.3007,0.99104,0.44435,0.57503,0.97918,-0.54355,0.63859,-0.34612,-11.724,-1.295,-0.24909,0.21771,0.085584,1.5538,0.83379,-0.36617,0.14876,-7.9707,-0.72588,-1.574,-0.85212,0.051834,1.0984,0.68105,0.62233,-0.08679,walk,3790
9.0522,1.2732,2.362,-0.39301,0.064633,-0.15479,-0.59315,-0.022964,-0.68403,9.2756,2.3425,0.64598,-0.35095,0.23497,-0.94225,-0.52351,-0.5746,-0.50649,8.76,-1.5633,1.2083,0.085943,0.63416,0.92145,-0.51013,0.65496,-0.3647,-10.955,-2.0178,1.1999,-0.67958,-0.04468,1.6683,0.80848,-0.41948,0.14709,-10.15,-0.42297,-1.9835,-0.66082,0.049147,1.164,0.70793,0.59492,-0.063642,walk,3791
7.979,1.3697,2.6156,-0.29383,0.20167,-0.094237,-0.59154,-0.020087,-0.68832,8.8953,2.1884,0.92726,-0.33881,0.096298,-0.91471,-0.50202,-0.5881,-0.51382,7.9508,-1.6572,1.6671,0.029339,0.49447,0.7345,-0.47938,0.66997,-0.37914,-9.069,-3.2513,0.28647,-1.1235,0.090721,2.0898,0.77732,-0.4756,0.1356,-9.0501,-1.0934,-1.8248,-0.31524,0.08999,1.3177,0.73655,0.5613,-0.058685,walk,3792
7.1884,1.5808,3.2898,-0.19976,0.033782,-0.064241,-0.58618,-0.014127,-0.69091,7.8698,2.2877,0.98703,-0.53317,-0.12351,-0.88777,-0.4804,-0.5956,-0.52486,7.0051,-1.7067,2.1132,0.014563,0.20512,0.47749,-0.45905,0.67978,-0.38462,-9.275,-2.665,-0.25842,-0.70673,0.35429,2,0.73284,-0.54283,0.12251,-9.7965,-0.13778,-0.70699,-0.64383,-0.002933,1.2087,0.76366,0.52506,-0.046411,walk,3793
7.4436,2.0228,3.3692,-0.045434,-0.25962,-0.081877,-0.59096,-0.013169,-0.68703,7.4516,2.384,1.1161,-0.7468,-0.324,-0.58836,-0.4668,-0.59445,-0.5352,7.1802,-1.606,2.2755,-0.050729,-0.083293,0.077684,-0.45172,0.68387,-0.38536,-8.5554,-1.4406,0.054466,-0.55565,0.075613,1.797,0.68744,-0.6001,0.11367,-9.588,-0.4196,-1.5632,-0.80922,-0.15501,1.208,0.78775,0.4898,-0.032964,walk,3794
8.1814,1.9951,3.2553,0.091249,-0.23748,-0.039767,-0.59629,-0.014717,-0.68382,7.1879,2.3518,1.2675,-0.67124,-0.45806,-0.13092,-0.4684,-0.58337,-0.54631,7.7158,-1.8729,3.3053,-0.71068,-0.10287,-0.23919,-0.45725,0.6902,-0.36836,-7.8434,-1.7172,0.53416,-0.55996,0.28467,1.6007,0.63749,-0.65718,0.098018,-9.5115,0.55122,-1.619,-0.49703,-0.082566,1.365,0.81123,0.44565,-0.022457,walk,3795
8.1446,2.1063,3.3079,0.12888,-0.067189,0.048929,-0.60019,-0.018046,-0.68079,7.6414,2.5224,1.5699,-0.3697,-0.48854,0.36272,-0.48371,-0.56821,-0.55051,7.5074,-2.9029,4.1415,-0.94752,-0.064483,-0.43385,-0.46816,0.69588,-0.34165,-7.2705,-1.414,0.30529,-0.29387,0.44221,1.1501,0.59867,-0.69253,0.093907,-10.485,-0.18137,-0.13617,-0.35975,-0.12857,1.316,0.83426,0.40204,-0.016338,walk,3796
7.945,2.5149,3.406,0.13775,-0.081242,0.07636,-0.60514,-0.019656,-0.67533,8.49,2.8179,1.6008,0.052311,-0.39488,0.70316,-0.50312,-0.55507,-0.54769,7.3581,-3.6439,3.5556,-0.90372,-0.16147,-0.54538,-0.48203,0.69952,-0.31927,-7.0867,0.37329,-0.17305,0.23438,0.52214,0.641,0.57476,-0.70792,0.11107,-9.5028,-3.3037,-1.3753,-0.002917,-0.052203,1.006,0.85221,0.36557,-0.018849,walk,3797
8.0297,2.8496,2.8942,0.095799,-0.12824,0.10112,-0.60879,-0.020833,-0.67244,8.9388,3.1965,1.5032,0.31951,-0.32696,0.91308,-0.52827,-0.54445,-0.53459,7.4277,-4.0263,2.7125,-0.31237,-0.19243,-0.56596,-0.50013,0.6958,-0.30138,-8.7733,4.3715,-0.36131,0.051036,0.78907,0.62783,0.55561,-0.72086,0.13075,-9.6369,-2.449,-2.1222,0.18944,-0.009585,0.68382,0.86432,0.33786,-0.023881,walk,3798
9.5951,2.9703,2.9217,0.007038,-0.22098,0.19914,-0.61509,-0.017984,-0.66772,9.8534,3.9753,1.8574,0.16866,-0.29962,1.0641,-0.5558,-0.52812,-0.52403,8.1139,-3.4907,2.6891,-0.39748,-0.13534,-0.43145,-0.51357,0.69043,-0.29045,-8.8732,5.327,0.57333,-0.41526,0.53629,0.68452,0.53044,-0.73864,0.13882,-9.5729,-0.44272,-1.3762,-0.14844,0.15852,0.7309,0.87315,0.31461,-0.019852,walk,3799
10.337,2.4448,3.1701,-0.13083,0.015641,0.31656,-0.61586,-0.00914,-0.66702,10.976,3.9556,2.3891,0.020065,-0.15076,1.0699,-0.59115,-0.50458,-0.51636,9.0284,-4.0736,2.9429,-1.0034,-0.037593,-0.13324,-0.5257,0.69551,-0.26303,-8.4751,8.4081,-0.83951,-0.72769,0.13468,0.15468,0.51764,-0.7482,0.12782,-10.101,1.5828,-1.0735,-0.7293,0.12422,0.81909,0.87995,0.28697,-0.008875,walk,3800
11.241,2.0464,4.6887,-0.19909,-0.15292,0.36842,-0.61659,0.004743,-0.66557,11.996,3.4627,2.5073,0.37774,0.031938,0.87153,-0.60944,-0.48523,-0.51076,10.616,-4.7227,2.9758,-1.1344,0.052283,0.067666,-0.52475,0.7093,-0.2337,-13.203,9.7723,1.9896,-1.8851,-1.2425,0.099677,0.52078,-0.75458,0.066283,-12.058,0.3817,-0.99773,-0.9958,-0.22853,0.68084,0.88699,0.26013,-0.001756,walk,3801
11.659,1.5449,3.2936,-0.25336,0.09481,0.24868,-0.62163,0.018283,-0.66389,12.526,3.7203,2.8593,0.94824,0.17959,0.75127,-0.62036,-0.47944,-0.50451,12.941,-5.4091,2.8055,-1.0378,0.19747,0.093398,-0.5199,0.71851,-0.20902,-8.9677,-6.1542,-1.1636,-1.6142,-0.097636,-0.12352,0.51896,-0.7566,0.006296,-11.132,-1.1912,-0.9938,-0.50195,-0.2497,0.26849,0.89466,0.24251,-0.0021,walk,3802
12.259,0.72438,3.5166,-0.26295,0.27297,0.14398,-0.61769,0.030433,-0.66566,10.317,4.8146,3.2298,0.69287,0.1499,0.61072,-0.6302,-0.48218,-0.49161,11.019,-5.4098,3.1993,-0.73566,0.096099,0.19809,-0.51239,0.72958,-0.18863,-9.2881,-5.763,0.037247,-0.38145,0.82573,-0.79099,0.53358,-0.7467,-0.006953,-11.924,-1.3423,0.56088,-0.57376,-0.60369,-0.20907,0.89337,0.24309,-0.012933,walk,3803
10.269,-0.009744,2.1466,-0.084196,0.45342,0.12309,-0.60704,0.038152,-0.67475,9.9465,4.2928,3.3442,0.082002,0.20337,0.38649,-0.63547,-0.47661,-0.49046,9.83,-5.4177,2.8171,0.044814,-0.022887,0.17721,-0.50746,0.73522,-0.17981,-10.244,-1.7667,-0.80397,0.72104,0.44409,-1.5657,0.57375,-0.71849,0.007944,-9.8889,-1.7211,-0.63066,-0.57526,-0.50067,-0.84515,0.8878,0.26428,-0.027607,walk,3804
